ID	Title	Country	Ctl	MA	Type	Drugs	Primary Endpoint	Population	
<a href="http://en.irct.ir/trial/46545">IRCT20100228003449N27</a>	Evaluating efficacy and safety of interferone   -1b (IFN   -1b) in the treatment of COVID-19	Iran	Y	N	Drug Repurposing	Interferon beta-1b	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://en.irct.ir/trial/46463">IRCT20200128046294N2</a>	A prospective randomized controlled trial comparing Sovodak (Sofosbuvir plus Daclatasvir) in participants with moderate to severe Coronavirus disease (COVID-19) compared to standard of care treatment	Iran	Y	N	Drug Repurposing	Daclatasvir/sofosbuvir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46561">IRCT20151227025726N12</a>	Evaluting the therapeutic and adverse effects of Interferon beta 1-a subcutaneous administration in patients with novel Coronavirus (COVID-19)	Iran	N	N	Drug Repurposing	Interferon beta-1a	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46693">IRCT20160310026998N10</a>	Study of the metformin effect on the survival and recovery rate of COVID-19 patients	Iran	Y	N	Drug Repurposing	Metformin	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46624">IRCT20200321046828N1</a>	The effect of genetical nanocomposit drug with cell imunity level on human coronavirus (COVID-19)	Iran	Y	Y	Shelved drug or NME	NOS	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46759">IRCT20200325046860N1</a>	Evaluation of Convalescent Plasma as a Potential Therapy for COVID-19 infected patients	Iran	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46713">IRCT20200324046850N2</a>	Comparison of the effect of Sofosbuvir + Daclatasvir (Sovodac) and Ribavirin in Covid-19 Patients with Severe Symptoms	Iran	N	N	Drug Repurposing	Daclatasvir/sofosbuvir, Ribavirin	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://en.irct.ir/trial/46660">IRCT20171122037571N2</a>	A single-arm multicenter clinical trial to evaluate the safety and efficacy of Remdesivir in COVID-19 patients with progressive severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)	Iran	N	N	Shelved drug or NME	Remdesivir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46681">IRCT20151227025726N13</a>	Evaluation the Efficacy and Safety of Tocilizumab in Patients with Novel Coronavirus (COVID-19)	Iran	N	N	Drug Repurposing	Tocilizumab, Hydroxychloroquine, Oseltamivir, Lopinavir/Ritonavir, Interferon beta-1a	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46732">IRCT20200324046850N1</a>	Comparison of vitamin D3 and N-acetylcysteine prescription in COVID19 patients   and their effect on recovery process	Iran	Y	Y	Drug Repurposing	Vitamin D, N-acetylcysteine	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46741">IRCT20190804044429N1</a>	Efficacy and safety evaluation of therapeutic regimen of lopinavir/ritonavir and interferon beta 1b in patients with COVID-19	Iran	Y	N	Drug Repurposing	Interferon beta-1b, Hydroxychloroquine, Lopinavir/ritonavir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46751">IRCT20200324046850N5</a>	Study of the effect of Vitamin C on duration of hospital stay in patients with Covid-19	Iran	Y	N	Drug Repurposing	Ascorbic acid	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46776">IRCT20200204046369N1</a>	Evaluation of Methylprednisolone Administration as a Therapeutic Option in the 2019 Novel Coronavirus (COVID-19): A Non-Randomized Controlled Study	Iran	N	N	Drug Repurposing	Methylprednisolone	Efficacy - Oxygen parameters	Severe Cases	
<a href="http://en.irct.ir/trial/46804">IRCT20190917044805N2</a>	Effects of High-dose Vitamin C on Treatment, Clinical Symptoms and Laboratory Signs of Iranian COVID-19 Patients: A Double Blind Randomized Clinical Trial	Iran	Y	N	Drug Repurposing	Ascorbic acid	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46810">IRCT20120225009124N4</a>	Efficacy of different methods of administeration of combination regiemn including dexamethasone, IV-IG and Interferone beta for treatment of patients with severe COVID-19: a randomized controlled trial	Iran	Y	Y	Drug Repurposing	Dexamethasone, Interferon beta, ND:Immunoglobulin	Efficacy - Oxygen parameters	Severe Cases	
<a href="http://en.irct.ir/trial/46786">IRCT20200317046797N2</a>	Effect of Fingolimod for treatment of COVID-19-induced cytokine storm	Iran	Y	N	Drug Repurposing	Fingolimod	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://en.irct.ir/trial/46783">IRCT20200318046812N1</a>	Evaluation of safety and efficacy of hydroxychloroquine plus favipiravir drug regimen in comparison with hydroxychloroquine plus kaletra on the need for intensive care unit treatment in patients with COVID-19; a randomized, multicenter, parallel groups, open label study	Iran	Y	N	Drug Repurposing	Favipiravir	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46811">IRCT20200325046859N1</a>	Evaluation of the efficacy of intravenous immunoglobulin (IVIg) in patients with severe  COVID-19 (Before intubation phase) who have not responded to treatment with the standard three-drug protocol (hydroxychloroquine / chloroquine + lupinavir / ritonavir + ribavirin)	Iran	N	N	Cell/Blood based	ND:Immunoglobulin	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46789">IRCT20200325046860N2</a>	Mesenchymal stem cell utilization in reducing complications and enhancing pneumonia healing  in patients infected with 2019-nCoV (phase I clinical trial)	Iran	N	N	Cell/Blood based	ND:Stem cells	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46837">IRCT20150704023055N2</a>	To evaluate the effectiveness of hemoperfusion in patients with severe coronavirus disease 2019 (COVID-19)	Iran	N	N	Cell/Blood based	ND:Procedure	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://en.irct.ir/trial/46838">IRCT20200319046819N1</a>	Impact of vitamin B, A, D, E, C supplementation on improvement and mortality rate in patients with COVID-19 admitted in intensive care unit	Iran	Y	N	Drug Repurposing, Other	Ascorbic acid, ND:Vitamin supplementation	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46849">IRCT20130917014693N10</a>	Evaluation the efficacy and safety of Hydroxychloroquine administration for COVID-19 post exposure prophylaxis	Iran	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Other efficacy	Exposed individuals (family members, HCP)	
<a href="http://en.irct.ir/trial/46875">IRCT20200401046909N1</a>	The efficacy of oral 25-hydroxyvitamin D3 on  COVID-19 treatment in adults: A Randomized, Controlled Double-Blind Clinical Trial.	Iran	Y	N	Drug Repurposing	Vitamin D	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46932">IRCT20130306012728N8</a>	Prospective post-exposure hydroxycloroquine prophylaxis for Covid 19 (PROSCLOROCOV 19)	Iran	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="http://en.irct.ir/trial/46790">IRCT20130812014333N145</a>	Comparative assessment of the efficacy and safety of add ontreatment with    Sofosbuvir plus Velpatasvir    to    standard of care therapeutic regimen    in patients with COVID-19	Iran	Y	N	Drug Repurposing	Sofosbuvir/velpatasvir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46968">IRCT20200318046812N2</a>	Safety and efficacy of    Hydroxychloroquine + Azithromycin + Naproxen + Prednisolone    and    Hydroxychloroquine + Azithromycin + Naproxen    regimens in comparison with    Hydroxychloroquine + kaletra    on the need for intensive care unit treatment in patients with COVID-19; a randomized, multicenter, parallel groups, open label study	Iran	Y	N	Drug Repurposing	Prednisolone	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46942">IRCT20151227025726N14</a>	Evaluation the efficacy and safety of Favipiravir made by Shahid Beheshti University of Medical Sciences in comparison with Lopinavir-ritonavir in COVID-19 patients	Iran	Y	N	Drug Repurposing	Favipiravir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46969">IRCT20200317046797N4</a>	Effect of Bromhexine Hydrochloride on clinical improvement and outcome of  COVID-19-induced pneumonia	Iran	Y	N	Drug Repurposing	Bromhexine	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://en.irct.ir/trial/47022">IRCT20150808023559N20</a>	Evaluation of safety and efficacy of hydroxychloroquine plus favipiravir drug regimen in comparison with hydroxychloroquine plus kaletra in  hospitalized patients with COVID-19	Iran	Y	N	Drug Repurposing	Favipiravir	Efficacy - Mortality	Severe Cases	
<a href="http://en.irct.ir/trial/46814">IRCT20161204031229N3</a>	Study of the Efficacy of Teicoplanin on mortality rate of patients with  COVID-19 Infection: A randomized clinical trial	Iran	Y	N	Drug Repurposing	Teicoplanin	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46824">IRCT20180802040678N4</a>	Evaluation of the effects of Losartan in patients with corona virus disease 2019	Iran	Y	N	Drug Repurposing	Losartan	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46946">IRCT20200405046958N1</a>	Effect of Hydroxychloroquine on Novel Coronavirus Disease (COVID-19) prevention in cancer patients under treatment	Iran	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Other	
<a href="http://en.irct.ir/trial/47030">IRCT20200217046526N1</a>	Mesenchymal Stem Cell Therapy for Acute Respiratory Distress Syndrome in Coronavirus Infection : A Phase 1 and 2 clinical trial	Iran	N	N	Cell/Blood based	ND:Stem cells	Safety	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47010">IRCT20200401046909N2</a>	Investigating preventive effects of oral 25-hydroxyvitamin D3 on COVID-19 in adults: A  Randomized, Controlled Double-Blind Clinical Trial.	Iran	Y	N	Drug Repurposing	Vitamin D	Efficacy - Infection rate (prevention)	General population	
<a href="http://en.irct.ir/trial/46897">IRCT20180725040596N2</a>	Evaluation of the effect of Arbidol drug in the treatment of hospitalized patients with COVID-19	Iran	Y	N	Drug Repurposing	Umifenovir	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://en.irct.ir/trial/46974">IRCT20180520039738N2</a>	Comparison of the effectiveness of standard treatment with stand treatment plus Vitamin A in treatment in covid19 patients	Iran	Y	N	Drug Repurposing	Vitamin A	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47014">IRCT20200317046797N3</a>	To evaluate the effectiveness of intravenous immunoglobulin (IVIG) for the treatment of COVID-19-induced cytokine storm	Iran	Y	N	Cell/Blood based	ND:Immunoglobulin	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://en.irct.ir/trial/46904">IRCT20200404046947N1</a>	Study of Methylprednisolone effects on treatment and clinical symptoms and laboratory signs of Iranian ?COVID-19 patients: a clinical trial study	Iran	Y	N	Drug Repurposing	Methylprednisolone	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://en.irct.ir/trial/46926">IRCT20200403046926N1</a>	The effect of adding SOVODAK (sofosbuvir+daclatasvir) to the treatment protocol of COVID-19 outpatients: A Clinical Trial Study	Iran	Y	N	Drug Repurposing	Sofosbuvir/daclatasvir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46931">IRCT20151228025732N53</a>	Evaluation of the therapeutic effects of Convalescent Plasma (CP) of recovered people from Covid-19 in improving clinical and laboratory symptoms of hospitalized patients	Iran	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Oxygen parameters	Severe Cases	
<a href="http://en.irct.ir/trial/47073">IRCT20200217046526N2</a>	Mesenchymal Stem Cell Therapy for Acute Respiratory Distress Syndrome in Coronavirus Infection: A Phase 2-3 Clinical Trial	Iran	Y	N	Cell/Blood based	ND:Stem cells	Safety	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46973">IRCT20200404046948N1</a>	Randomized, parallel-controlled and multi-center clinical study evaluating the efficacy and safety of convalescent  plasma, in the treatment of patients with severe SARS-CoV-2 infection (COVID-19)	Iran	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - WHO scale	Severe Cases	
<a href="http://en.irct.ir/trial/46977">IRCT20081019001369N4</a>	Clinical trial of minocycline against COVID-19	Iran	Y	N	Drug Repurposing	Minocycline	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47078">IRCT20200411047025N1</a>	Evaluation of effectiveness? of Intravenous vitamin c in Patients with COVID-19 Referred to Imam ?Khomeini Hospital: a clinical trial ?	Iran	Y	N	Drug Repurposing	Ascorbic acid	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47087">IRCT20080901001165N46</a>	Investigating the efficacy and safety of Umifenovir in controlling the symptoms of patients with COVID-19	Iran	Y	N	Drug Repurposing	Umifenovir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47006">IRCT20200408046992N1</a>	Evaluation of the Effect  of  Trifluoperazin in Treatment of   Patients with Confirmed 2019 Novel Coronavirus(COVID- 19): An Open-Label Randomized Clinical Trial	Iran	Y	N	Drug Repurposing	Trifluoperazin	Efficacy - WHO scale	Severe Cases	
<a href="http://en.irct.ir/trial/47244">IRCT20200415047092N1</a>	Safety and Effectiveness of azithromycin in Patients with COVID-19 Referred to zeiaeian Hospital : A clinical trial study	Iran	Y	N	Drug Repurposing	Azithromycin	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/47021">IRCT20200406046968N1</a>	The  effect of IL-6 inhibitor (Tocilizumab) on the prognosis of covid-19 patients with acute respiratory failure	Iran	N	N	Drug Repurposing	Tocilizumab	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47058">IRCT20200409047007N1</a>	The effect of plasma administration of COVID-19 survivors in patients with acute respiratory distress syndrome due to COVID-19	Iran	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Mortality	Mild/Moderate Cases, Other	
<a href="http://en.irct.ir/trial/47090">IRCT20190122042450N4</a>	Prevention of COVID-19 disease after contact with an infected patient with coronavirus after taking hydroxychloroquine in the community	Iran	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Other efficacy	Exposed individuals (family members, HCP)	
<a href="https://www.clinicaltrials.jp/user/showCteDetailE.jsp?japicId=JapicCTI-205238">JPRN-JapicCTI-205238</a>	Multicenter, Adaptive, Randomized, Placebo-Controlled, Comparative Study to Evaluate the Efficacy and Safety of Favipiravir in Patients with COVID-19 Non-Severe Pneumonia	Japan	Y	N	Drug Repurposing	Favipiravir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="http://en.irct.ir/trial/47099">IRCT20200411047030N1</a>	Evaluation of adding melatonin to routine treatment on outcomes and quality of sleep in COVID-19 patients	Iran	N	N	Drug Repurposing	Melatonin	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/47212">IRCT20200413047056N1</a>	Comparison between the efficacy of intravenous immunoglobulin and convalescent plasma in improving the condition of patients with COVID-19: A randomized clinical trial	Iran	Y	N	Cell/Blood based	ND:Immunoglobulin, ND:Convalescent plasma	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://jrct.niph.go.jp/latest-detail/jRCTs031190269">JPRN-jRCTs031190269</a>	A multicenter, open-label, randomized controlled trial to evaluate the efficacy and safety of inhaled ciclesonide for asymptomatic and mild patients with COVID-19 - RACCO trial	Japan	Y	N	Drug Repurposing	Ciclesonide	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://www.ensaiosclinicos.gov.br/rg/RBR-3cbs3w/">RBR-3cbs3w</a>	Randomized, pragmatic, open study evaluating Hydroxychloroquine for prevention of Hospitalization and Respiratory Complications in outpatients with confirmed or presumptive diagnosis of Infection by (COVID-19)	Brazil	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10928">PACTR202004801273802</a>	A Single-Center, Randomized, Double-Blind, Placebo-Controlled Clinical Trial of the Efficacy and Safety of Chloroquine Phosphate and Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients in Lagos State	Nigeria	Y	N	Drug Repurposing	Chloroquine, Hydroxychloroquine	Efficacy - WHO scale	Severe Cases	
<a href="http://www.clinicaltrials.in.th/index.php?tp=regtrials&menu=trialsearch&smenu=fulltext&task=search&task2=view1&id=5995">TCTR20200404004</a>	Comparative effectiveness of chloroquine and vitamin C prophylaxis in household contacts of confirmed COVID-19 patients	Thailand	Y	N	Drug Repurposing	Chloroquine, Ascorbic acid	Efficacy - Viral load	Mild/Moderate Cases	
<a href="http://rpcec.sld.cu/en/trials/RPCEC00000306-En">RPCEC00000306</a>	Randomized control clinical trial of CIGB 2020 in contacts and SARS-CoV-2 infection suspects (COVID-19)	Cuba	Y	N	Shelved drug or NME	CIGB 2020 vaccine	Efficacy - Other efficacy	Exposed individuals (family members, HCP)	
<a href="http://www.ensaiosclinicos.gov.br/rg/RBR-8969zg/">RBR-8969zg</a>	Clinical Trial using N-acetylcysteine for treatment of 2019-nCoV Pneumonia	Brazil	Y	N	Drug Repurposing	N-acetylcysteine	Efficacy - Mortality	Severe Cases	
<a href="https://anzctr.org.au/ACTRN12620000480987.aspx">ACTRN12620000480987</a>	Stress-reduction Using Probiotics to Promote Ongoing Resilience Throughout COVID-19 for Healthcare Workers: A randomised placebo-controlled trial	New Zealand	Y	N	Drug Repurposing	Lactobacillus rhamnosus HN001	Other	Exposed individuals (family members, HCP)	
<a href="https://anzctr.org.au/ACTRN12620000473965.aspx">ACTRN12620000473965</a>	Reducing acute severe respiratory events in health care workers during the Covid-19 pandemic with OM85	Australia	Y	N	Drug Repurposing	OM-85	Efficacy - Other efficacy	Exposed individuals (family members, HCP)	
<a href="https://anzctr.org.au/ACTRN12620000478910.aspx">ACTRN12620000478910</a>	Cord Blood Therapy to prevent progression of COVID-19 related pneumonia	Australia	Y	N	Cell/Blood based	ND:Stem cells	Safety	Mild/Moderate Cases	
<a href="http://isrctn.com/ISRCTN14326006">ISRCTN14326006</a>	Protecting frontline health care workers from COVID-19 with hydroxychloroquine pre-exposure prophylaxis: a randomized, placebo-controlled multi-site trial in Toronto, Canada	Canada	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="http://www.drks.de/DRKS00021214">DRKS00021214</a>	Improvement of the nutritional status regarding nicotinamide (vitamin B3) and the course of COVID-19 disease - COVit	Germany	Y	N	Drug Repurposing	Nicotinamide	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://en.irct.ir/trial/46564">IRCT20170117032004N3</a>	evaluation the effect of vitamin A on respiratory signs and hospitalization in patients with COVID-19	Iran	Y	N	Drug Repurposing	Vitamin A	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://en.irct.ir/trial/46424">IRCT20200310046736N1</a>	Comparison of The Therapeutic Effect of Convalescent Plasma and Plasma-derived Immunoglobulin-enriched solution on COVID-19 Patients: A Clinical Trial Study	Iran	Y	Y	Cell/Blood based	ND:Convalescent plasma	Efficacy - Other efficacy	Severe Cases	
<a href="http://en.irct.ir/trial/46531">IRCT20151113025025N3</a>	Clinical Trial of renin-angiotensin-aldosterone system inhibitors with halting their administration and the effect on clinical outcomes of patients with corona virus disease-2019 (COVID-19) referring to Sina Hospital in 2020	Iran	N	N	Drug Repurposing, Other		Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46551">IRCT20200312046749N1</a>	Evaluation the efficacy of Tumor Necrosis Factor alpha inhibitor in COVID-19 outcomes: a prospective clinical trial study.	Iran	N	N	Drug Repurposing	Etanercept biosimilar	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42713">CTRI/2020/04/024479</a>	Open labelled Randomised controlled trial to study the effect of Chloroquine in addition to standard therapy in COVID-19 patients	India	Y	N	Drug Repurposing	Chloroquine	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46668">IRCT20140911019125N6</a>	Study the effect of intravenous injection of dental pulp mesenchymal stem cells in treatment of patients with COVID-19 pneumonia	Iran	N	N	Cell/Blood based	ND:Stem cells	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42638">CTRI/2020/03/024402</a>	Hydroxy Chloroquine, in open labelled, Randomised intervention for prevention of new infection and adverse outcomes following COVID-19 infection- A Tertiary Hospital based study - CORONA study	India	N	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="http://en.irct.ir/trial/46573">IRCT20200317046797N1</a>	Effect of Camostate mesylate on clinical improvement and outcome of  Coronavirus (COVID-19)-induced pneumonia	Iran	Y	N	Drug Repurposing	Camostat	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46603">IRCT20120826010664N6</a>	Effect of hydroxychloroquine on prevention of covid-19 virus infection among treatment staff in Arash hospital-A double-blind clinical trial	Iran	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="http://en.irct.ir/trial/46550">IRCT20150303021315N17</a>	Evaluation of the safety and efficacy of Tocilizumab (AryoGen ?pharmed Co. Iran) in patients with COVID-19?	Iran	N	N	Drug Repurposing	Tocilizumab	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46623">IRCT20140528017891N8</a>	Evaluation of the efficacy and safety of cord-derived mesenchymal stem cell transplantation in the treatment of COVID-19	Iran	N	N	Cell/Blood based	ND:Stem cells	Efficacy - Mortality	Severe Cases	
<a href="http://en.irct.ir/trial/46629">IRCT20190727044343N1</a>	The effect of febuxostat against lung injury induced by COVID-19 virus in infected patients: A clinical trial study	Iran	Y	N	Drug Repurposing	Febuxostat	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://en.irct.ir/trial/46718">IRCT20200324046850N3</a>	The effect of naproxen on the healing process of patients with COVID-19	Iran	Y	N	Drug Repurposing	Naproxen	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46533">IRCT20200314046764N1</a>	The evaluation of pirfenidone effects on prevention and treatment of pulmonary fibrosis and acute respiratory distress syndrome caused by COVID-19	Iran	Y	N	Drug Repurposing	Pirfenidone	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46665">IRCT20150914024017N1</a>	the efficacy of Interferon beta 1 a (ReciGen)  in treatment of patients with Covid-19 in Sina Hospital Emergency Department	Iran	Y	N	Drug Repurposing	Interferon beta-1a	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://en.irct.ir/trial/46639">IRCT20190727044343N2</a>	Atorvastatin effect in Clinical and Laboratory findings of patiens with COVID-19 admitted RAZI referral hospital in Mazandaran State: A Randomized Clinical Trial	Iran	Y	N	Drug Repurposing	Atorvastatin	Other	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04343677">NCT04343677</a>	Military COVID-19 Hydroxychloroquine Pre-exposure and Post-exposure Prophylaxis Study	United States	Y	Y	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001194-69/ES">2020-001194-69</a>	Pilot study to evaluate the efficacy and safety of mefloquine as prophylaxis in people exposed to the disease caused by the SARS-CoV-2 coronavirus (COVID-19)	Spain	Y	N	Drug Repurposing	Mefloquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001459-42/DK">2020-001459-42</a>	Ruxolitinib Treatment in Patients with Severe COVID-19 Infection. A Danish Safety and Efficacy Study.	Denmark	N	N	Drug Repurposing	Ruxolitinib	Efficacy - Mortality	Severe Cases	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001421-31/ES">2020-001421-31</a>	Clinical trial randomized, unblinded and controled for evaluation of efficacy and safety of hydroxychloroquine chemoprophylaxis against SARS-CoV-2 (COVID-19) infection in healthcare professionals.	Spain	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001527-14/NL">2020-001527-14</a>	COVID-19: addition of azithromycin to chloroquine treatment	Netherlands	Y	N	Drug Repurposing	Azithromycin	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001209-22/GB">2020-001209-22</a>	Platform Randomised trial of INterventions against COVID-19 In older peoPLE	United Kingdom	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Other efficacy	General population	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001440-26/ES">2020-001440-26</a>	Pilot, double-blind clinical trial to evaluate the efficacy and safety of pre-exposure use of hydroxychloroquine versus placebo in the prevention of SARS-CoV-2 (COVID-19) infection in healthcare personnel.	Spain	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001375-32/NL">2020-001375-32</a>	Pre-emptive tocilizumab in hypoxic COVID-19 patients, a prospective randomized trial	Netherlands	Y	N	Drug Repurposing	Tocilizumab	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001327-13/AT">2020-001327-13</a>	A SINGLE-BLINDED RANDOMIZED, PLACEBO-CONTROLLED PHASE II TRIAL OF PROPHYLACTIC TREATMENT WITH ORAL AZITHROMYCIN VERSUS PLACEBO IN CANCER PATIENTS UNDERGOING ANTINEOPLASTIC TREATMENT DURING THE COVID-19 PANDEMIC	Austria	N	N	Drug Repurposing	Azithromycin	Efficacy - Infection rate (prevention)	Other	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001448-24/GB">2020-001448-24</a>	Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19	United Kingdom	Y	Y	Drug Repurposing	Hydroxychloroquine, Ritonavir/lopinavir	Efficacy - Other efficacy	General population	
